xmlid	basename	title	au-name
POR0023	POR0023_AleHer_Eurico	 Eurico, o Presbytero: Edição para o ELTeC	Herculano, Alexandre 
POR0081	POR0081_AMCunSa_Parte	Da parte d'el-rei: Edição para o ELTeC	Sá, António Manuel da Cunha e 
POR0079	POR0079_JulLPin_Margarida	Margarida: Edição para o ELTeC	Pinto, Júlio Lourenço 
POR0030	POR0030_FelCas_Chave	A chave do enigma: Edição para o ELTeC	Castilho, António Feliciano de 
POR0009	POR0009_EcaQue_Amaro	O Crime do Padre Amaro: Edição para o ELTeC	Eça de Queirós, José Maria de 
POR0070	POR0070_MatBet_Aljubarrota	O soldado de Aljubarrota: Edição para o ELTeC	Bettencourt, Matilde Isabel de Santana e Vasconcelos Moniz 
POR0014	POR0014_FauFon_Mindelo	Os Bravos do Mindelo: Edição para o ELTeC	Fonseca, Faustino da 
POR0040	POR0040_AJCL_Tripeiros	Os tripeiros: Edição para o ELTeC	Lousada, António José Coelho 
POR0072	POR0072_LobAvi_Caramurus	Os Caramurús: Edição para o ELTeC	Lobo de Ávila, Artur 
POR0080	POR0080_JoaCam_CastelMelhor	O Conde de Castel Melhor: Edição para o ELTeC	Câmara, João Maria Evangelista Gonçalves Zarco da 
POR0095	POR0095_AlfMes_Rua	A rua do oiro: Edição para o ELTeC	Mesquita, Alfredo de 
POR0035	POR0035_MauFig_Exilado	O Exilado: Edição para o ELTeC	Figueiredo, Mauricia C. de 
POR0043	POR0043_LuiMag_Soares	O Brasileiro Soares: Edição para o ELTeC	Magalhães, Luís de 
POR0013	POR0013_RauBra_Pobres	Os pobres: Edição para o ELTeC	Brandão, Raul 
POR0032	POR0032_JayMLim_Transviado	Transviado: Edição para o ELTeC	Lima, Jayme de Magalhães 
POR0082	POR0082_JulCMac_Lisboa	A vida em Lisboa: Edição para o ELTeC	Machado, Júlio César  
POR0074	POR0074_CarMDia_Mulata	A Mulata: Edição para o ELTeC	Dias, Carlos Malheiro 
POR0031	POR0031_ZNGB_Covilha	Pero da Covilhan: Edição para o ELTeC	Brandão, Zeferino Norberto Gonçalves 
POR0016	POR0016_LARSil_Fantasmas	A casa dos fantasmas: Edição para o ELTeC	Silva, Luís Augusto Rebelo da 
POR0012	POR0012_CamCB_Consolacao	Livro de consolação: Edição para o ELTeC	Castelo Branco, Camilo 
POR0100	POR0100_LucCor_Duquesa	A senhora duquesa: Edição para o ELTeC	Cordeiro, Luciano 
POR0090	POR0090_CanFig_Tres	Lisboa no Ano Três Mil: Edição para o ELTeC	Figueiredo, Cândido de 
POR0059	POR0059_AntFBar_Duelo	Um duelo nas sombras: Edição para o ELTeC	Barata, António Francisco 
POR0037	POR0037_AntCamJ_Namorados	A Ala dos Namorados: Edição para o ELTeC	Campos Junior, António 
POR0068	POR0068_ClaCam_Ele	Ele : edição para o ELTeC	Campos, Claudia de 
POR0005	POR0005_EcaQue_Maias	Os Maias: Edição para o ELTeC	Eça de Queirós, José Maria de 
POR0051	POR0051_RauBra_Humus	Húmus: Edição para o ELTeC	Brandão, Raul 
POR0039	POR0039_AlbBra_Engeitado	O Engeitado: Edição para o ELTeC	Braga, Alberto Alberto Leal Barradas Monteiro 
POR0089	POR0089_AlvCar_Canibais	Os canibais: Edição para o ELTeC	Carvalhal, Álvaro do 
POR0067	POR0067_OliMar_Febo	Febo Moniz: Edição para o ELTeC	Oliveira Martins, Joaquim Pedro de 
POR0055	POR0055_AlbPim_Anel	O Annel Mysterioso: Edição para o ELTeC	Pimentel, Alberto 
POR0083	POR0083_AliPes_Prejuizo	A vida por um prejuízo: Edição para o ELTeC	Pestana, Alice  
POR0099	POR0099_AnaCO_Ambicoes	Ambições : Edição para o ELTeC	Castro Osório, Ana de 
POR0008	POR0008_EcaQue_Basilio	O Primo Basílio : Edição para o ELTeC	Eça de Queirós, José Maria de 
