	total_counts	canon_counts	canon_status	author	title
POR0001	8	1	low	Dinis, Júlio 	A Morgadinha dos Cannaviaes : Edição para o ELTeC
POR0002	1	0	low	Castro Osório, Ana de 	Sacrificada: Edição para o ELTeC
POR0004	50	19	high	Almeida Garrett, João Baptista da Silva Leitão de 	Viagens na minha terra: Edição para o ELTeC
POR0005	40	19	high	Eça de Queirós, José Maria de 	Os Maias: Edição para o ELTeC
POR0006	0	0	low	Vasconcelos, M.M.S.A. e 	O Cura de São Lourenço: Edição para o ELTeC
POR0007	1	0	low	Dinis, Júlio 	Uma família ingleza: Edição para o ELTeC
POR0008	30	19	high	Eça de Queirós, José Maria de 	O Primo Basílio : Edição para o ELTeC
POR0009	41	21	high	Eça de Queirós, José Maria de 	O Crime do Padre Amaro: Edição para o ELTeC
POR0010	58	33	high	Castelo Branco, Camilo 	Amor de Perdição: Edição para o ELTeC
POR0011	8	2	high	Castelo Branco, Camilo 	O que fazem mulheres: Edição para o ELTeC
POR0012	10	5	high	Castelo Branco, Camilo 	Livro de consolação: Edição para o ELTeC
POR0013	3	2	high	Brandão, Raul 	Os pobres: Edição para o ELTeC
POR0014	0	0	low	Fonseca, Faustino da 	Os Bravos do Mindelo: Edição para o ELTeC
POR0015	10	7	high	Dinis, Júlio 	Os Fidalgos da Casa Mourisca: Edição para o ELTeC
POR0016	8	1	low	Silva, Luís Augusto Rebelo da 	A casa dos fantasmas: Edição para o ELTeC
POR0017	2	0	low	Pinheiro Chagas, Manuel Joaquim 	A Lenda da Meia-Noite: Edição para o ELTeC
POR0019	13	7	high	Sá-Carneiro, Mário de 	A Confissão de Lúcio: Edição para o ELTeC
POR0020	4	1	low	Botelho, Abel 	Amor crioulo: Edição para o ELTeC
POR0021	1	1	low	Francisco Manuel de Melo Breyner, Conde de Ficalho 	Uma Eleição Perdida: Edição para o ELTeC
POR0022	2	0	low	Pimentel, Alberto 	Noites de Cintra: Edição para o ELTeC
POR0023	19	0	low	Herculano, Alexandre 	 Eurico, o Presbytero: Edição para o ELTeC
POR0024	2	0	low	Campos, Alfredo 	A filha do Cabinda: Edição para o ELTeC
POR0025	1	0	low	Rodrigues, Manuel Maria 	A Rosa do Adro: Edição para o ELTeC
POR0026	0	0	low	Queirós, Teixeira de 	O Salústio Nogueira: Edição para o ELTeC
POR0027	0	0	low	Mascarenhas, Miguel J. T. 	Um conto portuguez: Edição para o ELTeC
POR0028	0	0	low	Lima, Sebastião de Magalhães 	A senhora viscondessa: Edição para o ELTeC
POR0029	1	0	low	Macedo, Diogo de 	O Christão novo: Edição para o ELTeC
POR0030	3	0	low	Castilho, António Feliciano de 	A chave do enigma: Edição para o ELTeC
POR0031	1	0	low	Brandão, Zeferino Norberto Gonçalves 	Pero da Covilhan: Edição para o ELTeC
POR0032	1	0	low	Lima, Jayme de Magalhães 	Transviado: Edição para o ELTeC
POR0033	0	0	low	Albergaria, António da Costa Couto Sá de 	Os filhos do padre Anselmo: Edição para o ELTeC
POR0034	1	0	low	Melo, Tomás de 	O Conde de S. Luiz: Edição para o ELTeC
POR0035	2	0	low	Figueiredo, Mauricia C. de 	O Exilado: Edição para o ELTeC
POR0036	1	0	low	Vieira, José Augusto 	A Divorciada: Edição para o ELTeC
POR0037	2	0	low	Campos Junior, António 	A Ala dos Namorados: Edição para o ELTeC
POR0038	19	13	high	Herculano, Alexandre 	 O Bobo : Edição para o ELTeC
POR0039	1	0	low	Braga, Alberto Alberto Leal Barradas Monteiro 	O Engeitado: Edição para o ELTeC
POR0040	0	0	low	Lousada, António José Coelho 	Os tripeiros: Edição para o ELTeC
POR0041	1	0	low	Grave, João José 	A morte vence: Edição para o ELTeC
POR0042	3	3	high	Braga, Teófilo 	Viriato: Edição para o ELTeC
