,FR0010,FR0040,FR0052,FR0302
0,0,30,3,0
1840,0,0,0,0
1841,0,0,0,0
1842,0,0,0,0
1843,0,0,0,0
1844,0,0,0,0
1845,0,0,0,0
1846,0,0,0,0
1847,0,0,0,0
1848,0,0,0,0
1849,0,0,0,0
1850,0,0,0,0
1851,0,0,0,0
1852,0,0,0,0
1853,1,0,0,0
1854,0,0,0,0
1855,0,0,0,0
1856,0,0,0,0
1857,0,6,0,0
1858,0,0,0,0
1859,0,0,0,0
1860,0,0,0,0
1861,0,0,0,0
1862,0,0,0,0
1863,0,0,0,0
1864,0,0,0,0
1865,0,0,0,0
1866,0,0,0,0
1867,1,0,0,0
1868,0,0,0,0
1869,0,2,0,0
1870,0,1,0,0
1871,0,0,0,0
1872,0,0,0,0
1873,0,0,0,0
1874,0,3,0,0
1875,0,0,0,0
1876,0,3,0,0
1877,0,0,0,0
1878,0,1,0,0
1879,0,1,0,0
1880,0,1,0,0
1881,0,1,0,0
1882,0,0,0,0
1883,0,0,0,0
1884,0,1,0,0
1885,0,10,0,0
1886,0,0,0,0
1887,0,1,0,0
1888,0,2,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,0,2,0,0
1892,0,1,0,0
1893,0,0,0,0
1894,0,2,0,0
1895,0,0,2,0
1896,0,0,0,0
1897,0,0,1,0
1898,0,1,0,0
1899,0,0,2,0
1900,0,3,0,0
1901,0,2,2,0
1902,0,2,2,0
1903,0,1,1,0
1904,0,2,1,0
1905,0,2,0,0
1906,0,0,1,0
1907,0,1,2,0
1908,0,2,2,0
1909,0,0,1,0
1910,0,3,5,0
1911,0,0,1,0
1912,0,2,7,0
1913,0,0,0,0
1914,0,1,0,0
1915,0,0,0,0
1916,0,0,0,0
1917,0,1,0,0
1918,0,0,0,0
1919,0,0,0,0
1920,0,1,0,0
1921,0,8,0,0
1922,0,1,0,0
1923,0,2,1,0
1924,0,2,0,0
1925,0,2,1,0
1926,0,1,0,0
1927,0,1,0,0
1928,0,1,7,0
1929,0,0,0,0
1930,0,9,0,0
1931,0,0,0,0
1932,0,1,0,0
1933,0,4,0,0
1934,0,1,2,0
1935,0,0,0,0
1936,0,31,0,0
1937,0,2,0,0
1938,0,1,1,0
1939,0,1,0,0
1940,0,0,0,0
1941,0,1,0,0
1942,0,1,1,0
1943,0,0,0,0
1944,0,0,1,0
1945,0,13,1,0
1946,0,15,1,0
1947,0,9,2,0
1948,0,1,0,0
1949,0,6,1,0
1950,0,3,0,0
1951,0,6,2,0
1952,0,1,0,0
1953,0,5,0,0
1954,0,4,1,0
1955,0,6,0,0
1956,0,0,0,0
1957,0,10,0,0
1958,0,8,2,0
1959,0,1,4,0
1960,0,0,0,0
1961,0,12,5,0
1962,0,2,2,0
1963,0,0,0,0
1964,0,24,0,0
1965,0,3,0,0
1966,0,7,1,0
1967,0,1,0,0
1968,0,11,3,0
1969,0,0,2,0
1970,0,4,1,0
1971,0,14,1,0
1972,0,16,2,0
1973,0,4,0,0
1974,0,4,0,0
1975,1,5,1,0
1976,0,2,0,0
1977,0,3,0,0
1978,0,1,0,0
1979,0,2,2,0
1980,0,3,1,0
1981,0,2,0,0
1982,0,2,0,0
1983,0,3,1,0
1984,0,1,0,0
1985,0,2,0,0
1986,0,3,0,0
1987,0,5,2,0
1988,0,2,6,0
1989,0,3,0,0
1990,0,5,0,0
1991,0,9,2,0
1992,0,7,2,0
1993,0,0,4,0
1994,0,5,4,0
1995,0,9,2,0
1996,0,6,3,0
1997,0,3,1,0
1998,0,4,0,0
1999,0,3,2,0
2000,0,1,0,0
2001,0,7,2,0
2002,0,0,0,0
2003,1,2,0,0
2004,0,4,3,0
2005,0,1,0,0
2006,0,4,0,0
2007,0,13,0,0
2008,0,3,0,0
2009,0,9,3,0
2010,0,5,0,0
2011,0,10,1,0
2012,0,9,1,0
2013,2,3,2,0
2014,0,9,0,0
2015,0,3,0,0
2016,0,5,3,0
2017,0,2,1,0
2018,0,10,2,0
2019,0,2,1,0
Total,6,544,130,0
